Counter[flat='Квартира №43', number='21712964', date=null, t1=73.653, t2=111.774, t3=84.605, total=270.032]
Counter[flat='Квартира №58', number='21967732', date=null, t1=80.047, t2=74.979, t3=116.039, total=271.065]
Counter[flat='Квартира №128', number='21968471', date=null, t1=84.464, t2=85.664, t3=106.675, total=276.803]
Counter[flat='Квартира №37', number='21666539', date=null, t1=84.546, t2=72.468, t3=120.376, total=277.390]
Counter[flat='Квартира №90', number='21968383', date=null, t1=92.796, t2=21.689, t3=189.717, total=304.202]
Counter[flat='Квартира №140', number='21967475', date=null, t1=95.065, t2=102.927, t3=114.501, total=312.493]
Counter[flat='Квартира №82', number='21967513', date=null, t1=100.489, t2=50.556, t3=168.443, total=319.488]
Counter[flat='Квартира №44', number='21967861', date=null, t1=95.480, t2=64.324, t3=164.475, total=324.279]
Counter[flat='Квартира №49', number='21666570', date=null, t1=101.967, t2=103.553, t3=136.253, total=341.773]
Counter[flat='Квартира №118', number='21971416', date=null, t1=103.618, t2=91.628, t3=153.989, total=349.235]
Counter[flat='Квартира №10', number='21967590', date=null, t1=96.307, t2=74.161, t3=180.637, total=351.105]
Counter[flat='Квартира №13', number='21967904', date=null, t1=117.229, t2=109.173, t3=126.908, total=353.310]
Counter[flat='Квартира №60', number='21967979', date=null, t1=97.466, t2=91.197, t3=164.960, total=353.623]
Counter[flat='Квартира №77', number='21968450', date=null, t1=101.620, t2=107.275, t3=145.430, total=354.325]
Counter[flat='Квартира №112', number='21971429', date=null, t1=105.523, t2=111.731, t3=137.690, total=354.944]
Counter[flat='Квартира №125', number='21949344', date=null, t1=112.630, t2=107.584, t3=140.554, total=360.768]
Counter[flat='Квартира №52', number='21666543', date=null, t1=97.303, t2=139.467, t3=124.168, total=360.938]
Counter[flat='Квартира №68', number='21967522', date=null, t1=108.808, t2=121.182, t3=138.793, total=368.783]
Counter[flat='Квартира №141', number='21967535', date=null, t1=125.312, t2=117.808, t3=167.531, total=410.651]
Counter[flat='Квартира №104', number='21971388', date=null, t1=146.968, t2=115.835, t3=177.035, total=439.838]
Counter[flat='Квартира №50', number='21666901', date=null, t1=135.890, t2=126.752, t3=180.616, total=443.258]
Counter[flat='Квартира №126', number='21949403', date=null, t1=166.216, t2=125.153, t3=216.790, total=508.159]
Counter[flat='Квартира №78', number='40628580', date=null, t1=386.314, t2=140.297, t3=0.000, total=526.611]
Counter[flat='Квартира №31', number='21712977', date=null, t1=166.906, t2=130.353, t3=261.123, total=558.382]
Counter[flat='Квартира №48', number='21968079', date=null, t1=200.192, t2=176.431, t3=284.308, total=660.931]
Counter[flat='Квартира №12', number='21948923', date=null, t1=223.608, t2=212.039, t3=293.220, total=728.867]
Counter[flat='Квартира №1', number='21666896', date=null, t1=232.166, t2=174.485, t3=359.343, total=765.994]
Counter[flat='Квартира №7', number='21712970', date=null, t1=255.566, t2=184.400, t3=334.760, total=774.726]
Counter[flat='Квартира №127', number='21967896', date=null, t1=234.748, t2=241.258, t3=342.523, total=818.529]
Counter[flat='Квартира №85', number='21967450', date=null, t1=301.551, t2=251.992, t3=401.760, total=955.303]
